example_id,rule_id,wrong_text,correct_text,headline
E0066,R0057,Attached you will find our asset management brochure which describes in detail our services.,You can learn about the services you will get in the asset management brochure attached.,Focus on your reader's benefit
E0067,R0057,The case in attachment shows you how one industry peer benefitted from our solution.,Find a case study on how an industry peer benefited from the attached solution.,Focus on your reader's benefit
E0068,R0057,We have great discounts at the moment on all of our product lines!,You get discounts on all product lines.,Focus on your reader's benefit
E0069,R0057,Our product is the best,This is the best product for organizations like yours.,Focus on your reader's benefit
E0070,R0057,"Hi, I'm Kris and I'm here to see if you'd need our services.","Hi <NAME>, this is Kris writing to you to see if any of the following services can be beneficial to you.",Focus on your reader's benefit
E0071,R0060,I thought I'd share our newest features with you,You can find a guide on how you can benefit from the most recent product update attached.,Focus on your reader's benefit
E0072,R0060,I'd love to offer you a Sales Development Representative opportunity at Acme.,You have an offer for an opportunity to join Acme as a Sales Development Representative,Focus on your reader's benefit
E0073,R0060,I would love to show you what we are doing and ask for advice.,Are you interested in learning more about how you can benefit and provide advice?,Focus on your reader's benefit
E0074,R0060,I would like to show you how it can help you,Are you interested in learning how it can help you?,Focus on your reader's benefit
E0075,R0060,I'd love to show how we can help Acme get an even bigger competitive edge.,Do you want to learn how Acme can get a bigger competitive edge?,Focus on your reader's benefit
E0076,R0060,"Hello, I would like to offer you a new position in Marketing.",Are you interested in a new position in marketing?,Focus on your reader's benefit
E0077,R0061,I thought our service might be useful to you when managing accounts,The service offers you the possibility to easily manage accounts,Focus on your reader's benefit
E0078,R0062,I wanted to share our newest feature with you,The newest feature will offer you more autonomy,Focus on your reader's benefit
E0079,R0065,I have attached the propsal,Attached you will find the proposal,Focus on your reader
E0080,R0065,I sent you an email last week regarding free options,"As mentioned in the previous email, this option is free for you.",Focus on your reader
E0081,R0065,I’ve sent you this note as I think Acme could be awesome for you.,You are reading this note because Acme can be a great fit for you.,Focus on your reader
E0082,R0065,I will send you the online version of the textbooks.,You will receive the online version of the textbooks.,Focus on your reader
E0083,R0065,Let me know and I'll send you more details.,Is hearing details something you are interested in?,Focus on your reader
E0084,R0065,I will therefore send you the feedback in a separate email.,You will get/receive the feedback in a seperate email.,Focus on your reader
E0085,R0065,As discussed over the phone last week I would like to send you,"As mentioned last week on the phone, these are the benefits you will get:",Focus on your reader
E0086,R0065,I’d send you the profiles if you’re open.,Are you interested in having a look at the profiles?,Focus on your reader
E0087,R0066,"I know you must be getting a ton of e-mails, but I wanted to talk you through the update's new features","To keep it brief and clear for you, here are the update's key new features",Focus on the positives
E0088,R0067,My name is Marc,This is Marc writing to you,Put your reader in the center
E0089,R0069,I'm going to keep this as brief as possible,You will have a brief idea if this is interesting to you within 30 seconds,Be precise
E0090,R0070,I'm not going to take up too much of your time,You will have a brief idea about if this is interesting to you within 30 seconds,Encourage your reader
E0091,R0071,I wanted to highlight the opportunity to expand your knowledge,You'll have the opportunity to expand your knowledge,Focus on your reader's benefit
E0092,R0072,Tough,With potential,Use positive words
E0093,R0073,Keeping track of your expenses can be difficult sometimes,Finally there's a solution to conveniently keeping track of your expenses,Use positive words
E0094,R0073,It would be difficult for me to have the session at 6 AM in the morning.,It's better to have the session at a time other than 6 AM in the morning.,Use positive words
E0095,R0073,From what I understand you are facing difficult times both from the market side as well as from your internal transformation.,It seems you need to find solutions for your process from the market side and your internal transformation.,Use positive words
E0096,R0073,"Megan, maybe this isn't the case for you -- but CS teams we work with were finding it difficult to track and prioritize their users' needs.","Megan, CS teams find tracking and prioritizing their users' needs challenging. How is this the case for you?",Use positive words
E0097,R0073,"Yet, the sustainability performance of companies is rarely visible, and difficult to compare, making it difficult to integrate in the decision making process.","The sustainability performance of companies is rarely visible and incomparable, making it challenging to integrate in the decision-making process.",Use positive words
E0098,R0073,We know exactly how difficult this search can be.,We know exactly how challenging this search can be.,Use positive words
E0099,R0073,Are you finding it difficult to find and hire the right skilled workers to deliver your projects on time?,Are you finding it challenging to find and hire the right skilled workers to deliver your projects on time?,Use positive words
E0100,R0074,I understand the problem,I see an opportunity to make this run more smoothly,Use positive words
E0101,R0075,Please excuse,Thanks for understanding,Focus on the positives
E0102,R0076,Very sorry to chase but I am just following up on my previous email,Is there any additional information you need to move forward on this?,Encourage your reader
E0103,R0077,Try,Do,Show confidence
E0104,R0078,Trying,Doing,Show confidence
E0105,R0079,...But you don't have any additional costs!,"...And everything is included, how cool is that?",Show Positivity
E0106,R0079,"But hey, have you invited them with the correct address?",Have you invited them with the correct address?,Show Positivity
E0107,R0079,But where's the grit?,Where's the grit?,Show Positivity
E0108,R0079,But rarely are these foods healthy.,These foods rarely are healthy,Show Positivity
E0109,R0079,"Exhausted, but awesome!","Exhausted, while also awesome.",Show Positivity
E0110,R0079,"Electrification of roads reduces direct emissions, but indirect emissions pose a challenge.","Electrification of roads reduces direct emissions, and indirect emissions pose a challenge.",Show Positivity
E0111,R0079,"But for me, it has two even deeper meanings.","To me, it has two deeper meanings.",Show Positivity
E0112,R0079,"But I was also beyond my ""opportunity days"" and looking for strong visions.","I was also beyond ""opportunity days"" and looking for strong visions.",Show Positivity
E0113,R0079,But it can do so much more.,It can do so much more.,Show Positivity
E0114,R0080,No problem,It is my pleasure,Use positive words
E0115,R0080,It's not a problem if not.,It's fine if not.,Use positive words
E0116,R0080,"No problem, discover Fanomena Events completely free with our new free forever plan.","Fanomena Events are completely free with a ""new free forever"" plan.",Use positive words
E0117,R0080,There is no problem with my solution.,The solution is clear.,Use positive words
E0118,R0080,That's no problem at all and I'll move our call to 2pm GMT tomorrow.,"Sure thing, the call is moved to 2pm GMT tomorrow.",Use positive words
E0119,R0081,I hope you don't mind,I hope that's okay with you,Use positive words
E0120,R0082,Let me know when you're free,Does next week or later this week work better for you?,Ask a clear question
E0121,R0084,Let me know what works for you,Does next week or later this week work better for you?,Ask a clear question
E0122,R0085,Are you free anytime soon?,Does next week or later this week work better for you?,Ask a clear question
E0123,R0087,Does next week Monday work for you?,Does next week or later this week work better for you?,Ask a clear question
E0124,R0088,Are you free tomorrow morning?,Does the afternoon or early morning work better for you?,Ask a clear question
E0125,R0091,I could meet you later this week,Does your availability look better this week or early next week?,Ask a clear question
E0126,R0092,I'm available later this week,Does your availability look better this week or early next week?,Ask a clear question
E0127,R0092,"If there are any outstanding questions, I'm available flexibly today.",Are there any outstanding questions or is everything clear?,Ask a clear question
E0128,R0092,I'm available flexibly today.,Do you prefer to talk now or rather later today?,Ask a clear question
E0129,R0092,I am available at any time to answer your questions.,Are there any open questions or is everything clear?,Ask a clear question
E0130,R0092,"I am available all day, happy to schedule a call when it best suits you.",Does the morning or rather afternoon suit you best?,Ask a clear question
E0131,R0092,I am available starting with the 27.06.,Does starting from the 27.06 suit you or do you prefer another date?,Ask a clear question
E0132,R0094,Looking forward to hearing from you,Does your availability look better this week or early next week?,Ask a clear question
E0133,R0096,Let's connect,Is this something you have covered or do you want to learn more about the benefits?,Focus on your reader's benefit
E0134,R0096,Hi how are you doing??? Let's connect via linkedin,Are you fine with connecting on LinkedIn?,Focus on your reader's benefit
E0135,R0096,Let's partner/collaborate and create great content together.,Do you want to hear how it will benefit you to create content together?,Focus on your reader's benefit
E0136,R0096,Let's connect when it's convenient for you.,Are you interested in connecting when it's convenient for you?,Focus on your reader's benefit
E0137,R0096,We would like to partner up.,Are you open to learning about your advantages with a potential partnership?,Focus on your reader's benefit
E0138,R0096,"Hi Marc, how is it going over there??? Let's connect next week.","Hi Marc, do you prefer to connect early or rather later next week?",Focus on your reader's benefit
E0139,R0097,"If this sounds interesting for your team, let me know",Do you believe this will be of interest for your team?,Ask a clear question
E0140,R0098,I appreciate your answer,Thank you for getting back,Thank your reader in advance
E0141,R0105,"If you are interested, send me a message",Is this something you are open to talk more about or do you have any questions?,Ask a clear question
E0142,R0106,What do you think?,Is this something you are open to talk more about?,Ask a clear question
E0143,R0106,What do you think if we combine both options?,Are you fine with combining both options?,Ask a clear question
E0144,R0106,What do you think - could it make sense to talk to each other?,Do you think talking about it will help you?,Ask a clear question
E0145,R0107,Our company will increase customer retention rates,The reason companies similar to yours work with us is the increase in their customer retention rates,Focus on your reader's benefit
E0146,R0108,Our company provides information and training guides to professionals in the financial community,Professionals like you in the financial community get information and training guides,Focus on your reader's benefit
E0147,R0108,"Our approach is to start by sharing our network, experience and capabilities well before any investment possibility arises.","You will benefit from the network, experience, and capabilities well before any investment possibilitiy arises.",Focus on your reader's benefit
E0148,R0108,Our company provides information and training guides to people in the UK 'Matched Betting' community.,People in the UK 'Matched Betting' community get information and training guides.,Focus on your reader's benefit
E0149,R0108,Our team is growing and to deliver data backed and efficient output we all require tools frequently.,Keeping up with the team growth and delivering data backed and efficient ouput requiers us to use tools frequently.,Focus on your reader's benefit
E0150,R0109,Our company does all kinds of trainings,Clients comparable to you love the versatility of trainings,Focus on your reader's benefit
E0151,R0110,Our company helps match energy provider with customer to reduce energy bills,You will be matched with the perfect energy provider to save you money on your bills,Focus on your reader's benefit
E0152,R0111,I'm excited to hear your thoughts,Do you have any unanswered questions or does this sound like something that can be valuable to you?,Ask a clear question
E0153,R0114,When could/would be a good time to talk?,Does later this week or early next week work better for you?,Ask a clear question
E0154,R0116,When should I call you back?,Does late this week or early next week work better for you?,Ask a clear question
E0155,R0119,Would/could your company be interested in this?,Is this something your company is interested in?,Avoid the conditional
E0156,R0120,Would/could this be useful to you?,Do you need more information or is it clear how this can be useful to you?,Avoid the conditional
E0157,R0122,"As promised, I am reaching out as I would love to hear about any progress made since we last spoke earlier this year","As promised, you're hearing back from me to check in. Do you want to talk about the progress made or are you ready to move forward?",Focus follow-up on your reader
E0158,R0123,I would like to have the opportunity to talk to your manager,Who do we have to get in on our conversation to move forward?,Include your reader
E0159,R0124,Can you connect me with the person responsible for this?,Who else do we have to get in on our conversation to move forward?,Include your reader
E0160,R0125,Can I talk to the person responsible for this?,Who else do we have to get in on our conversation to move forward?,Include your reader
E0161,R0126,I would love to show you our solution,Do you have further questions or do you want to see how you can benefit from our solution?,Focus on your reader's benefit
E0162,R0126,I would like to show you how our product can help you with increasing your sales.,Are you interested in seeing how the product can help you with increasing your sales?,Focus on your reader's benefit
E0163,R0126,Hello I would like to present my proposal,Are you open to having a look at the proposal?,Focus on your reader's benefit
E0164,R0126,I would like to talk about our product.,Are you open to talking about the product?,Focus on your reader's benefit
E0165,R0128,"If you would love to hear more, please feel free to reach out to me",Are there any open questions right now or can we simply setup a call to talk about your objectives?,Ask a clear question
E0166,R0128,I’ve attached an investment flyer if you would like to know more about us.,Do you want to learn how much you can benefit from your investment?,Ask a clear question
E0167,R0128,"Please shoot me your email, if you would like to talk!",Is this something you're excited to talk more in detail?,Ask a clear question
E0168,R0128,Let me know if you would like to learn more,Are you interested in learning more how you can benefit?,Ask a clear question
E0169,R0128,"I'm excited to hear back from you, if you want to chat!",Is this something that is exciting for you to chat about?,Ask a clear question
E0170,R0128,"If you want to improve your caregiver training, simply reply to this email.",Are you interested in improving your caregiver training?,Ask a clear question
E0171,R0128,"If you'd like to try it out, please join here.",Do you have any open questions or are you open to simply joining here?,Ask a clear question
E0172,R0130,I would appreciate if you could get back to me by next Monday,"To start saving you 10% of your overhead costs for this month, we need to kick this off by next Monday",Focus on your reader's benefit
E0173,R0131,I was wondering if you could share your challenges with me,"To quickly understand how you can benefit, we need to look at your challenges. What's currently on the top of your mind?",Show confidence
E0174,R0132,I would like to invite you to our upcoming event,You are invited to our upcoming event,Avoid the conditional
E0175,R0132,We'd like to invite you to be one of the first to try out the new features.,You will be one of the first to try out the new features.,Avoid the conditional
E0176,R0132,"We’re very interested in your background, and would like to invite you to start the recruitment process right away by following the steps below.",Your background is very interesting. That's why you're invited to start the recruitment process by following the steps below.,Avoid the conditional
E0177,R0133,With this email I would like to give you an update on the process,You're receiving this email so you have an update on the process,Avoid the conditional
E0178,R0135,I could show you our product,Do you feel looking at our product will add value to you?,Avoid the conditional
E0179,R0136,I could/ would like to/ may/ might be able to help you,I am excited to help you,Avoid the conditional
E0180,R0137,I thought it would be great to catch up,Do you feel like it will be useful to you to catch up next week?,Focus catch-up on reader
E0181,R0139,Congrats on your recent success!,"Your latest ad campaign is brilliant, all this hard work you've invested is totally paying off",Give specific compliments
E0182,R0140,Think about all the money you will save your employer,Picture how your yearly review will go if you personally manage to cut the company's costs by 10%.,Build a narrative
E0183,R0140,What do you think about it?,Is this something you're open to?,Build a narrative
E0184,R0140,I think it would be safe to stay at home.,It's safe to stay at home.,Build a narrative
E0185,R0140,I just found out about Woodupp and I think it is amazing.,Woodupp is amazing.,Build a narrative
E0186,R0140,And I would really think it would be fun to work with you guys.,It will be fun working with you guys.,Build a narrative
E0187,R0140,Please have a look and let me know what you think.,Are there any open questions or will you simply have a look and get back afterwards?,Build a narrative
E0188,R0144,Your company has lead the innovation in our industry for decades,Apple has lead the innovation in our industry for decades,Use the organization's name
E0189,R0145,I was wondering whether this might be interesting for you,Do you have this covered or does solving this help you in any way?,Show confidence
E0190,R0146,Maybe a quick intro call will work sometime this/next week?,Is this week or next week more convenient for you to have a quick intro call?,Avoid 'Maybe'
E0191,R0147,I have an opportunity for you,What's currently on your mind?/What's important to you?,Focus on your reader's concerns
E0192,R0148,I would love to discuss this with you!,Is this something that is currently on top of your mind?,Avoid 'Discuss'
E0193,R0149,We help companies grow sustainably,Companies like Acme love how we support them to grow sustainably,Focus on your reader's organization
E0194,R0150,"Not to stress you, but the deadline is fast approaching",Let's work together to meet the deadline,Avoid 'Stress'
E0195,R0151,"Hi Marc, at Apple we...","Hi Marc, you guys are doing an impressive job...",Focus opening on reader
E0196,R0153,"Greetings, I'm Marc from Acme","Greetings Nadja, this is Marc messaging you from Acme",Use your recipient's name
E0197,R0154,We are happy to help you!,We are happy to help you.,Avoid exclamation points
E0198,R0156,It's a great initiative!!!,It's a great initiative.,Avoid multiple punctuation marks
E0199,R0157,No worries,I appreciate you/r...,Avoid 'Worry'
E0200,R0158,Let's have a call soon,Do you prefer to talk this week or rather early next week?,Make a clear call-to-action
E0201,R0159,"However, we can try to ship your order next week",We will do our best so you get your order next week,Keep it to the point
E0202,R0161,I could tell you more about the services,You can learn more about the services,Avoid the conditional
E0203,R0162,I should probably tell you more about our newest feature,You can learn more about how to benefit from the newest feature,Avoid the conditional
E0204,R0164,Are you open to talking?,Will solving this make your life any better/easier right now?,Take it slow
E0205,R0165,"We have many, many more ideas",There are multiple ideas to explore,Avoid repeated words
E0206,R0166,"Hi Nadja, can you send me an update by Monday?","Hi Nadja, great to see you making progress on this ... Can you send me an update by Monday?",Avoid asking early questions
E0207,R0167,"No, our product is different to others on the market",Our product is different to others on the market and here is why...,Avoid 'No'
E0208,R0168,"You're wrong, the sector is thriving more than ever",The sector is thriving more than ever,Avoid correcting your reader
E0209,R0169,I need you to cooperate with me on this project,I really value your input on the project,Lower the pressure
E0210,R0170,Thanks,Thank you,Write out 'Thank you'
E0211,R0171,"Sorry, could you help me with this?",Do you have time to help me with this?,Avoid 'Sorry'
E0212,R0172,I was just wondering if this applies to you,Does this apply to you?,Show authority
E0214,R0174,I was kind of expecting to meet sooner to go over the project,Can we meet sooner to go over the project?,Avoid 'Kind of'
E0215,R0175,Hopefully this is something you want to collaborate on,Collaborating with you will add a ton of value to...,Show confidence
E0216,R0176,"Statistically, 90% of our users are happy with the service we provide",90% of our users are happy with the service we provide,Avoid filler words
E0217,R0177,"So, perhaps we can discuss this further over a phone call",Can we discuss this over a phone call?,Avoid filler words
E0218,R0178,"As you know, we've been trying to establish more partners like you",We've been working hard to establish more partners like you,Avoid filler words
E0219,R0179,"Basically, we'd like to collaborate with more entrepreneurs like you",We want to collaborate with more entrepreneurs like you,Avoid filler words
E0220,R0180,We're pretty much finished with the first round of funding,We're almost finished with the first round of funding,Avoid filler words
E0221,R0181,"To whom it may concern in your company, here is a copy of our roadmap for the next few months",Here is a copy of our roadmap for the next few months,Avoid filler words
E0222,R0184,I've sent you an email requesting a meeting,Is this something that is currently on top of your mind?,Take it slow
E0223,R0185,"We successfully pulled it off; two birds with one stone, so to speak",We successfully pulled off both tasks.,Avoid filler words
E0224,R0186,What can we do better?,What adds more value for you?,Avoid modal 'Can'
E0225,R0187,Your experience at Google in particular interests me,Your experience at Google is interesting,Avoid filler words
E0226,R0188,I enclose herewith a copy of the document,You will find the document attached,Avoid filler words
E0227,R0189,"Of course, if you have any questions you can reach out to me",Are there any open questions or are you ready to proceed?,Avoid filler words
E0228,R0190,I was literally amazed by your portfolio,Your portfolio is amazing. The project on...,Avoid filler words
E0229,R0191,It's really a great initiative,It's a great initiative,Avoid filler words
E0230,R0192,Two other investors are already on board,Two other investors are on board,Avoid filler words
E0231,R0193,There are currently 1000 people signed up to the event,There are 1000 people signed up to the event,Avoid filler words
E0232,R0194,The company is at a really exciting turning point right now,The company is at an exciting turning point,Avoid filler words
E0233,R0195,Profiles like yours are especially interesting for us,Your profile is interesting for us because of your...,Avoid filler words
E0234,R0196,"At the moment, there are five others in the team",There are five others in the team,Avoid filler words
E0235,R0197,"As it stands, there are already some great developments in the software",There are some great developments in the software,Avoid filler words
E0236,R0199,"Additionally, you will get the chance to meet other entrepreneurs",You will get the chance to meet other entrepreneurs,Avoid filler words
E0237,R0200,"Unfortunately, this is a situation we all face regularly",This is a situation we all face regularly,Avoid filler words
E0238,R0201,"As you might have seen, we recently reached out to food influencers like yourself to ask them to share their favorite recipes","As a food influencer, are you interested in sharing your favorite recipes through our new initiative?",Avoid filler words
E0239,R0202,There will be at least 500 other attendees,There are 500 attendees signed up,Avoid filler words
E0240,R0203,"Actually, there are some final things to go over",There are some final things to go over,Avoid filler words
E0241,R0204,"Hi Stefan, thanks for getting back to me. The collaboration is...","Hi Stefan, the collaboration is...",Avoid filler words
E0242,R0205,You'll definitely get a good impression of it from the reviews,You can check the reviews to see if it sounds useful for you,Avoid filler words
E0243,R0206,"We wanted to reduce electrical waste in landfill, thus our company was born",We reduce electrical waste in landfill,Avoid filler words
E0244,R0207,Is this generally something you'll benefit from?,Is this something that you will benefit from?,Avoid filler words
E0245,R0208,"As you may know, the new plastic packaging tax comes into force in January",The new plastic packaging tax comes into force in January,Avoid filler words
E0246,R0209,"As you may have noticed, some improvements have been made since we last spoke",Some improvements have been made since we last spoke,Avoid filler words
E0247,R0210,"As you may have seen, we have released a new feature",We have released a new feature,Avoid filler words
E0248,R0211,The service expenses are waived for customers like you,"For you, the additional service is free",Use positive words
E0249,R0212,The additional service is at no additional cost to your company,"For you, the additional service is free",Use positive words
E0250,R0213,Your investments are risk-free,The investment is secure,Use positive words
E0251,R0214,Delayed deliveries can be frustrating,We make sure all your deliveries arrive on time,Use positive words
E0252,R0215,Are you hesitant because of the service's potential hidden costs?,This service is free,Use positive words
E0253,R0216,Many startups struggle with financing,Many startups look for financial support,Use positive words
E0254,R0217,"To avoid a conflict of interest, we propose a more focused model","To ensure everyone is happy, we propose a more focused model",Use positive words
E0255,R0218,I imagine pulling your project off was a lot of work,Congratulations on your success in pulling your project off,Use positive words
E0256,R0218,It took a great deal of effort to sort out the application documents,Effort was needed to sort out the application documents,Use positive words
E0257,R0218,There was a great deal of grind to reach the deadline,We were grinding to reach the deadline,Use positive words
E0258,R0218,A great deal of labor goes into creating a great pitch,Labor is needed to create a great pitch,Use positive words
E0259,R0218,A great deal of toil has been invested by the team to publish this new iteration,The team invested toil to publish this new iteration,Use positive words
E0260,R0218,Creating the right marketing takes a lot of effort,Creating the right marketing takes time,Use positive words
E0261,R0218,"Because of lack of optimization,you're currently doing a lot of work for little output","With optimization, you'll do less work and increase output",Use positive words
E0262,R0218,"Without a recruiter, it takes a lot of grind to find the right candidate for your vacancies","With a recruiter, it takes less grind to find the right candidate for your vacancies",Use positive words
E0263,R0219,It took a lot of effort to reach our first 1000 customers,After some time we successfully reached our first 1000 customers,Use positive words
E0264,R0220,"We understand attracting investors can be a pain, so we would like to help",We will help you attract investors,Use positive words
E0265,R0220,I work with CIOs/CISOs/Heads of Data from mid to large enterprises who have flagged Compliance as a pain point.,CIOs/CISOs/Heads of Data from mid to large enterprises who have flagged compliance as a challenge benefitted from working with us.,Use positive words
E0266,R0220,Can we set up a quick meeting so we can discuss your pain points and our suggested solutions?,Do you believe it can be helpful to you to set up a quick meeting to address your challenges and the suggested solutions?,Use positive words
E0267,R0220,Are you one of the millions who find themselves battling chronic back and neck pain?,Are you one of the millions who find themselves who would benefit from back and neck support?,Use positive words
E0268,R0220,"I am still at the beginning of my research, and I’m curious to understand the biggest pain points for homeowners.",What are the biggest challenges for homeowners?,Use positive words
E0269,R0220,Are you one of the millions who has now given up and accepted they will just be in pain forever?,Are you one of the millions who need support?,Use positive words
E0270,R0220,"With a 15-minute call, your insight will help us build a product that caters to your needs and pain points.","With a 15-minute call, your insight will help us build a product that caters to your needs.",Use positive words
E0271,R0221,"Lack of sleep increases stress, which is why we are building this app",The app helps improve the quality and duration of sleep,Use positive words
E0272,R0222,You don't need to go to the trouble,Everything is done for you,Use positive words
E0273,R0223,There is an issue with the content of the copy,Let's work together to find an agreement on the copy,Use positive words
E0274,R0223,Please shout if that is going to cause any issues.,Will you shout if there is anything you need help with?,Use positive words
E0275,R0223,If you have issues with the task or the deadline then let me know.,Can you let me know if there are any questions regarding the task or deadline?,Use positive words
E0276,R0224,What are the constraints?,What needs to be solved before you can proceed?,Use positive words
E0277,R0225,Is the age of the company a deterrent for you?,Is company maturity important for you?,Use positive words
E0278,R0226,"I don't want to be a nuisance, just wondered if you're still open to collaboration",Is collaboration something which is relevant and useful for you right now?,Use positive words
